step,t_s,target_x,target_y,truth_px,truth_py,truth_pz,truth_vx,truth_vy,truth_vz,truth_qw,truth_qx,truth_qy,truth_qz,truth_roll,truth_pitch,truth_yaw,truth_wx,truth_wy,truth_wz,imu_ax,imu_ay,imu_az,imu_acc_norm,imu_gx,imu_gy,imu_gz,imu_gyro_norm,vio_px,vio_py,vio_pz,vio_vx,vio_vy,vio_vz,vio_qw,vio_qx,vio_qy,vio_qz,pos_err_x,pos_err_y,pos_err_z,pos_err_norm,vel_err_x,vel_err_y,vel_err_z,vel_err_norm,orientation_err_rad,odom_age_s,drained_callbacks
0,0.01,-4.0,1.6011310333130524e-10,-3.9999923706054688,8.749083463044371e-06,2.0661306381225586,0.0014138268306851387,0.0016338084824383259,-0.048263534903526306,0.999999988676229,-6.904349326323451e-05,4.7104359055586365e-05,0.0001251467825963708,-0.00013807519609652084,9.422599832588852e-05,0.0002502870615837196,-0.01739981211721897,0.011912388727068901,0.03086710162460804,0.10830222070217133,0.12530525028705597,9.888591766357422,9.889978660160512,-0.017399819567799568,0.011912389658391476,0.030867109075188637,0.037382310937459785,,,,,,,,,,,,,,,,,,,,,
1,0.02,-4.0,1.6011310333130524e-10,-3.999976634979248,2.742457036220003e-05,2.06565260887146,0.0015413804212585092,0.0017802976071834564,-0.047474898397922516,0.9999999217684629,-0.00016823479520920335,0.00011269918314247814,0.0003397926073123309,-0.00033639299029549055,0.0002255126804425495,0.0006795473111919307,-0.020388443022966385,0.01308532152324915,0.050819724798202515,-0.05133000388741493,-0.06039312854409218,9.888862609863281,9.889180239839217,-0.020388443022966385,0.013085320591926575,0.050819724798202515,0.056298833491106044,,,,,,,,,,,,,,,,,,,,,
2,0.03,-4.0,1.6011310333130524e-10,-3.999966859817505,3.883518365910277e-05,2.065182685852051,0.0002624531334731728,0.0002981202269438654,-0.04668153449892998,0.9999997510555065,-0.00025428581016699966,0.00016292805786576864,0.000637716315959073,-0.0005083637389059543,0.0003261803648154911,0.0012753498673941,-0.014260750263929367,0.007525060325860977,0.06250645220279694,-0.16381600499153137,-0.19038890302181244,9.8892822265625,9.892471206654594,-0.014260746538639069,0.0075250607915222645,0.06250645220279694,0.06455270713716002,,,,,,,,,,,,,,,,,,,,,
3,0.04,-4.0,1.6011310333130524e-10,-3.9999709129333496,3.276576171629131e-05,2.064720869064331,-0.0012288610450923443,-0.0014193719252943993,-0.04588430002331734,0.9999995025352493,-0.0002952925915000139,0.00017760075600810029,0.0009360499511104684,-0.0005902524744720303,0.00035575416005174433,0.0018719952943623574,-0.00451538385823369,0.0002805213734973222,0.05522499233484268,-0.12622162699699402,-0.14587624371051788,9.889570236206055,9.891451422033752,-0.00451537873595953,0.00028052894049324095,0.05522497743368149,0.05540997630541128,,,,,,,,,,,,,,,,,,,,,
4,0.05,-4.0,1.6011310333130524e-10,-3.999985456466675,1.5404340956592932e-05,2.0642669200897217,-0.0015425477176904678,-0.0017582557629793882,-0.0450863242149353,0.9999992768930632,-0.0003001378073157944,0.0001688999997086381,0.0011522167492923749,-0.0005998860320967762,0.0003384914092329801,0.002304332617006919,0.00014082375855650753,-0.0021366048604249954,0.0356590673327446,0.026828182861208916,0.03176224231719971,9.889745712280273,9.889833105012375,0.00014082665438763797,-0.0021365981083363295,0.035659059882164,0.03572328981634937,,,,,,,,,,,,,,,,,,,,,
5,0.06,-4.0,1.6011310333130524e-10,-3.999995708465576,3.7378613342298195e-06,2.0638208389282227,-0.0003641806833911687,-0.00036106043262407184,-0.044287871569395065,0.9999991212209666,-0.0003092933377046544,0.0001696274146996242,0.0012779364092102563,-0.0006181526608158398,0.0003400450522572462,0.0025557685732360874,-0.004232756327837706,0.0022958547342568636,0.021710503846406937,0.1550806760787964,0.17973537743091583,9.889984130859375,9.892832806160406,-0.0042327530682086945,0.0022958570625633,0.02171049825847149,0.0222380955304011,,,,,,,,,,,,,,,,,,,,,
6,0.07,-4.0,1.6011310333130524e-10,-3.999990701675415,1.0062205547001213e-05,2.063383102416992,0.0012609823606908321,0.0015510811936110258,-0.04348836466670036,0.99999895225212,-0.0003575871322779259,0.0002027907517954541,0.001387984876018718,-0.000714610694125432,0.000406573740907925,0.0027758256069364703,-0.013426396064460278,0.009427838027477264,0.026086783036589622,0.14135362207889557,0.16308006644248962,9.890107154846191,9.892461548516907,-0.013426395133137703,0.009427839890122414,0.026086783036589622,0.030816756812861203,,,,,,,,,,,,,,,,,,,,,
7,0.08,-4.0,1.6011310333130524e-10,-3.999974012374878,3.086846845690161e-05,2.062952756881714,0.001887731021270156,0.0022996943444013596,-0.04268749803304672,0.999998632590433,-0.0004437025625381414,0.00026182363414198697,0.0015714304581961255,-0.0008865812747104102,0.0005250410718088416,0.003142629881170515,-0.018831154331564903,0.012639368884265423,0.04471065476536751,-0.0014034059131518006,-0.0023818090558052063,9.890137672424316,9.890138058797218,-0.018831154331564903,0.012639371678233147,0.04471065476536751,0.050133908080535854,,,,,,,,,,,,,,,,,,,,,
8,0.09,-4.0,1.6011310333130524e-10,-3.9999585151672363,5.017662260797806e-05,2.0625312328338623,0.000990878907032311,0.0012809232575818896,-0.04188302159309387,0.9999980992022853,-0.0005302194075002965,0.0003155292672751801,0.0018495676461699176,-0.0010592700241968465,0.0006330187306351491,0.0036988028365955486,-0.015266342088580132,0.008836654946208,0.06054513156414032,-0.14273729920387268,-0.16527460515499115,9.890327453613281,9.892738082623522,-0.015266344882547855,0.008836651220917702,0.06054513156414032,0.06306235522871075,,,,,,,,,,,,,,,,,,,,,
9,0.1,-4.0,1.6011310333130524e-10,-3.9999563694000244,5.421395326266065e-05,2.062117099761963,-0.0005611451924778521,-0.0004892987781204283,-0.04107537120580673,0.9999974480094146,-0.0005783163661360166,0.0003369501628151385,0.0021577741833488993,-0.0011551761770006294,0.0006763944096684353,0.004315162004803792,-0.005816634278744459,0.0014065980212762952,0.059158943593502045,-0.1539640873670578,-0.1773143708705902,9.890473365783691,9.893260773152226,-0.005816633813083172,0.001406594179570675,0.059158943593502045,0.05946084714499669,,,,,,,,,,,,,,,,,,,,,
