step,t_s,target_x,target_y,target_yaw,yaw_error,yaw_correction,truth_px,truth_py,truth_pz,truth_vx,truth_vy,truth_vz,truth_qw,truth_qx,truth_qy,truth_qz,truth_roll,truth_pitch,truth_yaw,truth_wx,truth_wy,truth_wz,imu_ax,imu_ay,imu_az,imu_acc_norm,imu_gx,imu_gy,imu_gz,imu_gyro_norm,vio_px,vio_py,vio_pz,vio_vx,vio_vy,vio_vz,vio_qw,vio_qx,vio_qy,vio_qz,pos_err_x,pos_err_y,pos_err_z,pos_err_norm,vel_err_x,vel_err_y,vel_err_z,vel_err_norm,orientation_err_rad,odom_age_s,drained_callbacks
1958,19.59,-4.0,1.6011310333130524e-10,4.350018006894158e-11,-0.0008304994988329361,3.4375907552873485e-05,-4.039638996124268,0.014142151921987534,2.063709020614624,0.0489676259458065,-0.0018711303127929568,-0.0006224644021131098,0.9998811128101199,0.005428545307698503,0.01442393509012674,-0.0004911598052819427,0.01084635821215938,0.02885377659378792,-0.0008259447412501142,0.0002985539031215012,-0.02897661179304123,0.0009150659898295999,0.0008905953145585954,-0.001258190139196813,9.81325912475586,9.813259245826872,0.000298552360618487,-0.02897661179304123,0.0009150629048235714,0.028992593961845343,-7.379848414575111,2.135123054539847,2.2035611355902676,-0.9316214498592131,0.6716518514536757,0.03702331693803643,0.9999175704478548,0.0011680194842569069,0.012341351287022557,0.003343514401669714,-3.3402094184508435,2.1209809026178594,0.13985211497564354,3.959181425805157,-0.9805890758050196,0.6735229817664686,0.03764578134014954,1.190212311904245,0.012197607357714232,0.09750000000000014,1
1959,19.6,-4.0,1.6011310333130524e-10,4.350018006894158e-11,-0.0008259448075741182,2.2104708759559093e-05,-4.039131164550781,0.014116736128926277,2.06370210647583,0.05182725191116333,-0.0029419620987027884,-0.0006368915201164782,0.9998832707972279,0.0054274350560780575,0.014274147086838024,-0.0004862648380959392,0.010844354067052715,0.028554120146342284,-0.0008178056033600812,-0.0005482275155372918,-0.030818253755569458,0.0012771416222676635,0.007074425462633371,8.796587644610554e-05,9.813314437866211,9.81331698823935,-0.000548229378182441,-0.030818261206150055,0.001277137198485434,0.030849584416088184,-7.389149402355956,2.1418384866401436,2.203931647326512,-0.9285841096189029,0.6714322866177792,0.0370793078464144,0.9999178670309283,0.0011967643510598998,0.01231270677345744,0.0033502536199098835,-3.350018237805175,2.1277217505112174,0.14022954085068173,3.9710812589712896,-0.9804113615300662,0.674374248716482,0.03771619936653088,1.1905501152172526,0.012077417655944351,0.09750000000000014,1
1960,19.61,-4.0,1.6011310333130524e-10,4.350018006894158e-11,-0.0008178058049715707,1.0754099630264338e-05,-4.038594722747803,0.014080686494708061,2.0636954307556152,0.05471396818757057,-0.003998896107077599,-0.0006514005945064127,0.9998855448328668,0.005421924508289668,0.014116294301198378,-0.0004797959039725592,0.010833592912159363,0.02823831280410962,-0.0008067287233994474,-0.0014619632856920362,-0.03233703598380089,0.0015564210480079055,0.01246092189103365,0.0013636095682159066,9.813355445861816,9.813363451988884,-0.0014619636349380016,-0.03233703598380089,0.001556418021209538,0.03240746319822427,-7.398420516112516,2.1485515801040593,2.2043027357838185,-0.9256473973057898,0.6711839647672668,0.03713866998025683,0.9999182944946797,0.0012213700560875917,0.0122741018791097,0.0033554452906103694,-3.3598257933647133,2.1344708936093513,0.1406073050282033,3.9829845306819385,-0.9803613654933604,0.6751828608743444,0.037790070574763246,1.1909695176638722,0.01195802403132202,0.09750000000000014,1
1961,19.62,-4.0,1.6011310333130524e-10,4.350018006894158e-11,-0.0008067285960614334,1.7110843234488423e-06,-4.038029193878174,0.014034128747880459,2.0636885166168213,0.05761365219950676,-0.005042869132012129,-0.0006655547767877579,0.9998879099838315,0.005411733549983542,0.013951973425549562,-0.00047227712427153935,0.010813497435227741,0.027909553958268194,-0.0007937488539776157,-0.002429284853860736,-0.03360387310385704,0.001719489460811019,0.01630435325205326,0.002388465916737914,9.813416481018066,9.813430315981329,-0.002429285552352667,-0.03360387310385704,0.0017194863175973296,0.0337354168355958,-7.407662838900912,2.15526193589233,2.204674436018748,-0.9228189455528951,0.6709019019937298,0.037201485122282496,0.9999188719306829,0.0012421797087538604,0.012223816074509864,0.003359295613435022,-3.3696336450227378,2.1412278071444497,0.14098591940192673,3.9948922955728676,-0.9804325977524019,0.6759447711257419,0.037867039899070254,1.1914626830322772,0.01184123604153936,0.09750000000000014,1
1962,19.63,-4.0,1.6011310333130524e-10,4.350018006894158e-11,-0.0007937488697543392,-3.959751639070219e-06,-4.037433624267578,0.013977200724184513,2.0636820793151855,0.06050635874271393,-0.006076345220208168,-0.0006787491147406399,0.9998903528749234,0.005396654644887015,0.01378197175831533,-0.00046432828689496066,0.010783633950145751,0.027569425179114707,-0.000780098191636545,-0.0034297003876417875,-0.034722354263067245,0.0017491200705990195,0.018096286803483963,0.003021723125129938,9.813478469848633,9.813495620042298,-0.0034297010861337185,-0.034722354263067245,0.0017491206526756287,0.03493514216613104,-7.416877306903463,2.1619694415005917,2.2050467784788825,-0.9200817741416479,0.6705972063860633,0.03726724495973775,0.999919614741446,0.0012595041930204697,0.012160308487584823,0.003362231698285976,-3.379443682635885,2.147992240776407,0.14136469916369698,4.006805990900094,-0.9805881328843619,0.6766735516062715,0.03794599407447839,1.1920067450578393,0.011728481871711502,0.09750000000000014,1
1963,19.64,-4.0,1.6011310333130524e-10,4.350018006894158e-11,-0.0007800982419475565,-5.667707601117198e-06,-4.036810398101807,0.013909977860748768,2.0636751651763916,0.06336871534585953,-0.0071028415113687515,-0.0006903813336975873,0.9998928685839114,0.0053765682670013,0.01360644637734019,-0.00045660232985628884,0.010743745090413755,0.02721824787777274,-0.00076707904756598,-0.004438329953700304,-0.035813432186841965,0.0016466015949845314,0.01760493591427803,0.0031760854180902243,9.813535690307617,9.813551995390279,-0.004438331350684166,-0.035813432186841965,0.0016466022934764624,0.03612494995557607,-7.4260647919526654,2.168673787481198,2.205419790628699,-0.9174202935115212,0.670270521077467,0.03733538179642261,0.999920532105385,0.0012735828245859348,0.01208243797160521,0.003364840788952757,-3.389254393850859,2.1547638096204493,0.14174462545230737,4.018724170720354,-0.9807890088573807,0.6773733625888357,0.038025763130120196,1.1925718891966126,0.011620908557912835,0.09750000000000014,1
1964,19.650000000000002,-4.0,1.6011310333130524e-10,4.350018006894158e-11,-0.0007670789926387022,-3.3733082912138157e-06,-4.036159515380859,0.013832511380314827,2.0636684894561768,0.06617709249258041,-0.00812633614987135,-0.0006999277975410223,0.9998954525725751,0.005351542490478631,0.0134254488975797,-0.00044971052517629343,0.010693950906745388,0.02685613211550076,-0.0007559059525906492,-0.0054299128241837025,-0.036998335272073746,0.0014315168373286724,0.014903000555932522,0.0028306024614721537,9.813589096069336,9.813600820199833,-0.0054299114271998405,-0.036998335272073746,0.0014315167209133506,0.03742205220367085,-7.435225916638825,2.1753747897919893,2.205793493442441,-0.9148072109954423,0.6699291553846928,0.037405315516181745,0.9999216253782829,0.0012845529161760931,0.01198962174936776,0.0033677878444934514,-3.399066401257966,2.1615422784116745,0.14212500398626426,4.030647210843441,-0.9809843034880227,0.6780554915345641,0.03810524331372277,1.1931225682460533,0.011519735124769106,0.0975000000000037,1
1965,19.66,-4.0,1.6011310333130524e-10,4.350018006894158e-11,-0.000755906090334023,2.408860300181213e-06,-4.035481929779053,0.013744818978011608,2.063661575317383,0.06891044229269028,-0.009150578640401363,-0.0007068939739838243,0.9998981190742086,0.0053216340825378945,0.013237615543219306,-0.00044409152370779477,0.010634354996844845,0.026480354953473437,-0.0007474631847060123,-0.006381820421665907,-0.0383823961019516,0.0011389378923922777,0.01038940530270338,0.002037507016211748,9.813638687133789,9.813644398121749,-0.006381823681294918,-0.038382403552532196,0.0011389367282390594,0.038926003555971485,-7.444361349000619,2.1820722463361886,2.206167912265592,-0.9122254758025303,0.6695783998649234,0.03747662116306685,0.9999228876323522,0.0012924309929395962,0.011881914853203092,0.0033717221902797158,-3.4088794192215666,2.168327427358177,0.14250633694820936,4.042574771491122,-0.9811359180952206,0.6787289785053248,0.03818351513705068,1.1936325635921863,0.011425154427756474,0.09750000000000014,1
1966,19.67,-4.0,1.6011310333130524e-10,4.350018006894158e-11,-0.0007474631273261855,1.0679650867802793e-05,-4.034775257110596,0.01364686619490385,2.063654661178589,0.07155317813158035,-0.010178516618907452,-0.0007110495935194194,0.9999008720595058,0.005287157192509974,0.013042177780462481,-0.0004400252312003883,0.01056558046593019,0.02608938238544604,-0.000742303817239334,-0.007276751566678286,-0.04003965109586716,0.0008145398460328579,0.004721795674413443,0.0009006009204313159,9.813681602478027,9.813682779734227,-0.007276748772710562,-0.04003965109586716,0.0008145413594320416,0.04070366335117941,-7.453470583119666,2.188766303124032,2.206543033327899,-0.9096191846832008,0.6692336296877651,0.03754762446102139,0.9999243043888822,0.0012971080290659206,0.011760000425801123,0.0033771871662796903,-3.41869532600907,2.175119436929128,0.14288837214931016,4.054508525564921,-0.9811723628147812,0.6794121463066726,0.03825867405454081,1.1940535148145546,0.011337762868975117,0.09750000000000014,1
1967,19.68,-4.0,1.6011310333130524e-10,4.350018006894158e-11,-0.0007423037748857984,2.0102031112162165e-05,-4.03404426574707,0.013538618572056293,2.063647985458374,0.07409679889678955,-0.011211732402443886,-0.0007123002433218062,0.9999037245954022,0.005248415058080286,0.012837610794250826,-0.000437525673976253,0.01048823633934603,0.02568016478916662,-0.0007404570915869115,-0.008104999549686909,-0.04200281202793121,0.0005082176066935062,-0.0013218006351962686,-0.00041811526170931756,9.813718795776367,9.813718893699352,-0.008104996755719185,-0.04200281202793121,0.0005082190618850291,0.04278066709716908,-7.462553590584111,2.195456963024588,2.206918863205064,-0.9069786369461657,0.6688996168135395,0.03761834656127659,0.9999258553764447,0.001298360474612738,0.01162509662660572,0.0033845440144229595,-3.428509324837041,2.181918344452532,0.14327087774668978,4.06644444161768,-0.9810754358429552,0.6801113492159834,0.0383306468045984,1.1943741861875987,0.011257337507329152,0.09750000000000014,1
