checkpoint,checkpoint_sha256,code_revision,oracle_gate_relative_guidance,sampling_protocol,profile,seed,episode,completed,first_lap_completed,lap_time_s,failure_gate,gates_passed,collision,flyaway,return,duration_s,position_rmse_m,attitude_rmse_rad,velocity_rmse_mps
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/drone_racer/2026-09-02_20-09-09_ppo_torch_stage1_mixed/checkpoints/agent_50010.pt,8ac5a032a78bb88a568b9cfe2e15e95b0aad6f6d428a9ff04ee77fb9b2073364,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,88,True,True,6.390000000000001,,7,False,False,39.87178039550781,6.390000000000001,0.0,0.00030541449086740613,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/drone_racer/2026-09-02_20-09-09_ppo_torch_stage1_mixed/checkpoints/agent_50010.pt,8ac5a032a78bb88a568b9cfe2e15e95b0aad6f6d428a9ff04ee77fb9b2073364,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,89,True,True,5.79,,7,False,False,39.60022735595703,5.79,0.0,0.00031436659628525376,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/drone_racer/2026-09-02_20-09-09_ppo_torch_stage1_mixed/checkpoints/agent_50010.pt,8ac5a032a78bb88a568b9cfe2e15e95b0aad6f6d428a9ff04ee77fb9b2073364,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,90,True,True,6.4,,7,False,False,39.62517547607422,6.4,0.0,0.0003002532757818699,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/drone_racer/2026-09-02_20-09-09_ppo_torch_stage1_mixed/checkpoints/agent_50010.pt,8ac5a032a78bb88a568b9cfe2e15e95b0aad6f6d428a9ff04ee77fb9b2073364,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,91,True,True,6.32,,7,False,False,39.737728118896484,6.32,0.0,0.0003046344791073352,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/drone_racer/2026-09-02_20-09-09_ppo_torch_stage1_mixed/checkpoints/agent_50010.pt,8ac5a032a78bb88a568b9cfe2e15e95b0aad6f6d428a9ff04ee77fb9b2073364,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,92,True,True,5.93,,7,False,False,39.655704498291016,5.93,0.0,0.0003106335352640599,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/drone_racer/2026-09-02_20-09-09_ppo_torch_stage1_mixed/checkpoints/agent_50010.pt,8ac5a032a78bb88a568b9cfe2e15e95b0aad6f6d428a9ff04ee77fb9b2073364,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,93,True,True,6.04,,7,False,False,39.593379974365234,6.04,0.0,0.0003077919245697558,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/drone_racer/2026-09-02_20-09-09_ppo_torch_stage1_mixed/checkpoints/agent_50010.pt,8ac5a032a78bb88a568b9cfe2e15e95b0aad6f6d428a9ff04ee77fb9b2073364,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,94,True,True,6.0200000000000005,,7,False,False,39.42444610595703,6.0200000000000005,0.0,0.00034238729858770967,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/drone_racer/2026-09-02_20-09-09_ppo_torch_stage1_mixed/checkpoints/agent_50010.pt,8ac5a032a78bb88a568b9cfe2e15e95b0aad6f6d428a9ff04ee77fb9b2073364,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,95,True,True,5.92,,7,False,False,39.657562255859375,5.92,0.0,0.00032853116863407195,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/drone_racer/2026-09-02_20-09-09_ppo_torch_stage1_mixed/checkpoints/agent_50010.pt,8ac5a032a78bb88a568b9cfe2e15e95b0aad6f6d428a9ff04ee77fb9b2073364,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,96,True,True,6.140000000000001,,7,False,False,39.407745361328125,6.140000000000001,0.0,0.0003332490159664303,0.0
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/drone_racer/2026-09-02_20-09-09_ppo_torch_stage1_mixed/checkpoints/agent_50010.pt,8ac5a032a78bb88a568b9cfe2e15e95b0aad6f6d428a9ff04ee77fb9b2073364,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,clean,11,97,True,True,6.0200000000000005,,7,False,False,39.69981002807617,6.0200000000000005,0.0,0.0003031208470929414,0.0
